**Company**,**Product**,**Market Trend**
Company A,Product A,12
Company A,Product B,14
Company A,Product C,15
Company A,Product D,18
Company A,Product E,20
Company B,Product A,10
Company B,Product B,15
Company B,Product C,13
Company B,Product D,17
Company B,Product E,22
Company C,Product A,16
Company C,Product B,12
Company C,Product C,19
Company C,Product D,14
Company C,Product E,13
Company D,Product A,14
Company D,Product B,18
Company D,Product C,11
Company D,Product D,13
Company D,Product E,16
Company E,Product A,18
Company E,Product B,20
Company E,Product C,13
Company E,Product D,15
Company E,Product E,12
